排名,标题,评论数量,推荐率,出版社,作者,出版时间,价格,标题链接,
91,100层的房子系列（全4册，《100层的房子》+《地下100层的房子》+...,232524,100%,北京科学技术出版社,[日]岩井俊雄  100层童书馆 出品,2018/8/1,¥156.00,http://product.dangdang.com/26916076.html,"['所属分类：', '图书', '>', '童书', '>', '绘本/图画书', '>', '精装图画书', '>', '日韩', '图书', '>', '童书', '>', '3-6岁', '>', '卡通/动漫/图画书', '图书', '>', '童书', '>', '亲子共读']"
92,窗边的小豆豆(2018版),1537547,99.90%,南海出版公司,（日）黑柳彻子， 爱心树童书  出品,2018/5/1,¥27.20,http://product.dangdang.com/25272786.html,"['所属分类：', '图书', '>', '童书', '>', '外国儿童文学', '>', '成长/校园小说']"
93,不一样的卡梅拉手绘本（1-12册）,899850,99.70%,２１世纪出版社,"（法）克利斯提昂 约里波瓦著郑迪蔚译 ,（法）克利斯提昂 艾利施绘",2013/6/1,¥117.60,http://product.dangdang.com/23257828.html,"['所属分类：', '图书', '>', '童书', '>', '绘本/图画书', '>', '平装图画书', '>', '欧美', '图书', '>', '童书', '>', '3-6岁', '>', '卡通/动漫/图画书', '图书', '>', '童书', '>', '品格培养']"
94,宫西达也恐龙系列全套7册（你看起来好像很好吃+我是霸王龙等）,515683,100%,２１世纪出版社,宫西达也 文/图，杨文 晓晗 译,2016/11/1,¥126.00,http://product.dangdang.com/24079906.html,"['所属分类：', '图书', '>', '童书', '>', '绘本/图画书', '>', '平装图画书', '>', '日韩', '图书', '>', '童书', '>', '3-6岁', '>', '卡通/动漫/图画书', '图书', '>', '童书', '>', '爱与分享']"
95,少年读徐霞客游记（游中国·地理启蒙，全3册）,62286,100%,青岛出版社,刘兴诗,2020/9/1,¥100.00,http://product.dangdang.com/29122655.html,"['所属分类：', '图书', '>', '童书', '>', '中国儿童文学', '>', '经典名著少儿版', '图书', '>', '童书', '>', '7-10岁', '>', '文学', '图书', '>', '童书', '>', '开学必备']"
96,沉默的大多数（爱智慧、爱自由、反对愚蠢，读王小波的“上头之选...,323593,100%,北京十月文艺出版社,王小波  著 ， 新经典  出品,2021/1/1,¥59.00,http://product.dangdang.com/29176568.html,"['所属分类：', '图书', '>', '文学', '>', '名家作品']"
97,人类群星闪耀时（译自德国原版《人类群星闪耀时》！14篇无删减全...,220,100%,浙江文艺出版社,[奥] 斯蒂芬·茨威格，作家榜 出品，姚月 译,2021/10/1,¥69.00,http://product.dangdang.com/29317908.html,"['所属分类：', '图书', '>', '传记', '>', '历史人物']"
98,斯凯瑞金色童书·益智经典（百年诞辰纪念版，全4册）（原斯凯瑞金...,365682,99.70%,贵州人民出版社,【美】理查德·斯凯瑞  著 李晓平  等译,2019/5/1,¥53.90,http://product.dangdang.com/27852072.html,"['所属分类：', '图书', '>', '童书', '>', '益智游戏', '>', '互动游戏书', '图书', '>', '童书', '>', '3-6岁', '>', '益智游戏', '图书', '>', '童书', '>', '开学必备']"
99,大熊先生盖房子（澳大利亚青少年图书奖获奖作家、加拿大总督奖获...,98066,100%,中译出版社,(澳) 珍·戈德温、(澳) 迈克尔·瓦格纳 文，(加) 安德鲁·乔伊纳 图，方素珍 译，小当当童书馆 出品,2017/11/1,¥40.10,http://product.dangdang.com/25183398.html,"['所属分类：', '图书', '>', '童书', '>', '绘本/图画书', '>', '精装图画书', '>', '欧美', '图书', '>', '童书', '>', '0-2岁', '>', '图画故事', '图书', '>', '童书', '>', '亲子共读']"
100,沧浪之水（某瓣8.5分，入围茅盾文学奖。职场小白、考公人的启蒙之...,111658,99.70%,北京十月文艺出版社,阎真  著 ， 新经典  出品,2021/7/1,¥49.00,http://product.dangdang.com/29270902.html,"['所属分类：', '图书', '>', '小说', '>', '官场小说']"
101,许三观卖血记（2017精装典藏版，增录新版自序）,55013,100%,北京十月文艺出版社,余华 著，新经典 出品,2017/10/1,¥27.20,http://product.dangdang.com/25165143.html,"['所属分类：', '图书', '>', '小说', '>', '社会小说']"
102,小熊宝宝绘本（简装全15册）蒲蒲兰经典绘本！新手妈妈的育儿宝典...,1024617,99.70%,新世纪出版社,佐佐木洋子 文/图，蒲蒲兰 译,2007/5/16,¥96.00,http://product.dangdang.com/25289538.html,"['所属分类：', '图书', '>', '童书', '>', '婴儿读物', '>', '图画故事书', '图书', '>', '童书', '>', '0-2岁', '>', '图画故事', '图书', '>', '童书', '>', '习惯养成']"
103,半小时漫画中国史1-5（全5册）（中国史大结局！笑着笑着，大清就...,81090,100%,海南出版社,陈磊 著;读客文化 出品,2020/12/31,¥208.50,http://product.dangdang.com/29165521.html,"['所属分类：', '图书', '>', '历史', '>', '历史普及读物', '>', '中国古代史']"
104,她来了请准备（月经来了，你准备好了吗？）,22415,100%,海豚出版社,（澳）优米·斯泰恩斯 著，（澳）梅丽莎·康 著，（英）珍妮·拉瑟姆 绘，爱心树童书 出品,2021/10/1,¥34.80,http://product.dangdang.com/29318001.html,"['所属分类：', '图书', '>', '童书', '>', '少儿励志与成长', '>', '自我管理', '图书', '>', '童书', '>', '11-14岁', '>', '励志/成长']"
105,茅盾文学奖获奖作品：人世间（第十届茅盾文学奖获奖作品，雷佳音...,95526,99.90%,中国青年出版社,梁晓声,2017/11/1,¥154.70,http://product.dangdang.com/25207583.html,"['所属分类：', '图书', '>', '小说', '>', '社会小说']"
106,人生没什么不可放下：弘一法师的人生智慧（弘一法师彻悟一生的人...,142478,99.80%,团结出版社,宋默 著，文通天下 出品,2014/1/1,¥28.60,http://product.dangdang.com/23394853.html,"['所属分类：', '图书', '>', '成功/励志', '>', '人生哲学', '>', '人生智慧']"
107,跟着诗词去旅行 图说天下 寻梦之旅,173479,100%,四川人民出版社,郝娟菡,2019/9/1,¥22.60,http://product.dangdang.com/27942606.html,"['所属分类：', '图书', '>', '旅游/地图', '>', '旅游随笔']"
108,小狗钱钱（附赠免费亲子财商课+理财秘籍思维导图）,298182,100%,中信出版社,博多·舍费尔,2021/1/20,¥30.00,http://product.dangdang.com/29177871.html,"['所属分类：', '图书', '>', '童书', '>', '少儿励志与成长', '>', '自我管理', '图书', '>', '童书', '>', '7-10岁', '>', '励志/成长', '图书', '>', '童书', '>', '少儿商学院']"
109,追风筝的人（李雪琴、高圆圆动情推荐，《纽约时报》畅销书榜上榜...,1047029,100%,上海人民出版社,[美]卡勒德·胡赛尼（Khaled Hosseini） 著，李继宏 译,2006/5/1,¥26.50,http://product.dangdang.com/29211508.html,"['所属分类：', '图书', '>', '小说', '>', '外国小说', '>', '美国']"
110,这世界很好，但你也不差（打破满意度低幸福感差，这世界真叫人疲...,44861,100%,新世界出版社,万特特,2021/8/1,¥42.70,http://product.dangdang.com/29272806.html,"['所属分类：', '图书', '>', '成功/励志', '>', '成功/激励', '>', '激励']"
111,刘擎西方现代思想讲义（奇葩说导师、得到App主理人刘擎讲透西方思...,91554,100%,新星出版社,刘擎 著; 得到图书 出品,2021/1/17,¥59.00,http://product.dangdang.com/29180031.html,"['所属分类：', '图书', '>', '哲学/宗教', '>', '哲学', '>', '哲学知识读物']"
112,别想太多啦：在复杂的世界里，做一个简单的人（情绪疗愈指南，随...,86590,100%,天津人民出版社,[日]名取芳彦 著，紫图出品,2021/3/1,¥48.90,http://product.dangdang.com/29201117.html,"['所属分类：', '图书', '>', '心理学', '>', '心灵疗愈']"
113,悉达多（诺贝尔文学奖得主赫尔曼·黑塞的代表作，德文直译，原版...,19905,99.90%,民主与建设出版社,（德）赫尔曼·黑塞著 赵丽慧译,2020/12/1,¥47.30,http://product.dangdang.com/29173387.html,"['所属分类：', '图书', '>', '小说', '>', '外国小说', '>', '英国']"
114,DK博物大百科——自然界的视觉盛宴,180678,99.90%,科学普及出版社,英国DK公司,2018/9/1,¥448.80,http://product.dangdang.com/27887900.html,"['所属分类：', '图书', '>', '童书', '>', '科普/百科', '>', '科普', '图书', '>', '童书', '>', '11-14岁', '>', '科普百科', '图书', '>', '童书', '>', '亲近自然']"
115,枪炮、病菌与钢铁（赠解读册）,18640,99.90%,中信出版社,贾雷德·戴蒙德 Jared Diamond,2022/1/14,¥59.00,http://product.dangdang.com/29351602.html,"['所属分类：', '图书', '>', '历史', '>', '世界史', '>', '世界通史']"
116,沉思录,345934,99.50%,中央编译出版社,马可.奥勒留 青豆书坊 出品,2008/2/1,¥17.40,http://product.dangdang.com/20086549.html,"['所属分类：', '图书', '>', '哲学/宗教', '>', '哲学', '>', '世界哲学']"
117,那个不为人知的故事,144585,99.90%,四川文艺出版社,"Twentine 著,酷威文化 出品",2020/10/1,¥36.60,http://product.dangdang.com/29124262.html,"['所属分类：', '图书', '>', '青春文学', '>', '青春爱情文学']"
118,高效能人士的七个习惯（30周年纪念版）（全新增订版）（新增《纽...,254672,100%,中国青年出版社,（美）史蒂芬·柯维 ，高新勇、王亦兵、葛雪蕾译； 中青文  出品,2020/5/30,¥43.40,http://product.dangdang.com/28979183.html,"['所属分类：', '图书', '>', '成功/励志', '>', '性格与习惯', '>', '习惯']"
119,我喜欢自己——邓超微博推荐的绘本 带给孩子更多勇气和自信的绘本...,425276,99.60%,河北教育出版社,（美）卡尔森　著，余治莹　译,2019/11/1,¥35.80,http://product.dangdang.com/27942697.html,"['所属分类：', '图书', '>', '童书', '>', '绘本/图画书', '>', '精装图画书', '>', '欧美', '图书', '>', '童书', '>', '3-6岁', '>', '卡通/动漫/图画书', '图书', '>', '童书', '>', '品格培养']"
120,梅格时空大冒险·7~14岁儿童文学科幻经典（全5册）银河的裂缝 等...,253967,99.90%,文汇出版社,(美)马德琳·英格 著；读客文化 出品,2017/7/1,¥216.80,http://product.dangdang.com/25099944.html,"['所属分类：', '图书', '>', '童书', '>', '外国儿童文学', '>', '幻想小说', '图书', '>', '童书', '>', '11-14岁', '>', '文学', '图书', '>', '童书', '>', '科幻故事']"
121,不爱说话的十一岁·纽伯瑞儿童文学奖金奖（写尽8~12岁孩子的心事...,16772,100%,文汇出版社,[菲]艾琳.恩瑞达.凯莉 著；读客文化 出品,2020/5/31,¥35.80,http://product.dangdang.com/28554400.html,"['所属分类：', '图书', '>', '童书', '>', '外国儿童文学', '>', '成长/校园小说', '图书', '>', '童书', '>', '7-10岁', '>', '文学', '图书', '>', '童书', '>', '语言表达']"
122,在细雨中呼喊（精装版）,23109,99.90%,北京十月文艺出版社,余华 著，新经典 出品,2018/5/1,¥27.20,http://product.dangdang.com/25263398.html,"['所属分类：', '图书', '>', '小说', '>', '中国近现代小说']"
123,我爱天下一切狗 季羡林散文集（爱尽万物，自在不言。）,44776,100%,光明日报出版社,季羡林 著，文通天下 出品,2020/6/1,¥42.70,http://product.dangdang.com/28964398.html,"['所属分类：', '图书', '>', '文学', '>', '中国现当代随笔']"
124,明朝那些事儿增补版.全集,370072,99.90%,北京联合出版有限公司,当年明月 著,2017/5/1,¥405.00,http://product.dangdang.com/29296796.html,"['所属分类：', '图书', '>', '历史', '>', '历史普及读物', '>', '中国古代史']"
125,三毛全集02：撒哈拉的故事,424644,100%,北京十月文艺出版社,三毛 著，新经典 出品,2017/4/1,¥35.00,http://product.dangdang.com/24242914.html,"['所属分类：', '图书', '>', '文学', '>', '中国现当代随笔']"
126,不能不懂的编程 我是学霸 给孩子的创新编程启蒙绘本,22856,100%,北京联合出版有限公司,项华,2021/9/1,¥39.00,http://product.dangdang.com/29281295.html,"['所属分类：', '图书', '>', '童书', '>', '科普/百科', '>', '科普', '图书', '>', '童书', '>', '7-10岁', '>', '科普/百科']"
127,愿你慢慢长大（与刘瑜、周国平、冯唐等名家一起开始一场温柔的教...,209376,100%,北京联合出版有限公司,刘瑜、周国平等，联合读创   出品,2018/1/1,¥39.20,http://product.dangdang.com/25193588.html,"['所属分类：', '图书', '>', '亲子/家教', '>', '亲子关系']"
128,人间失格（日本小说家太宰治代表作，一个对村上春树影响至深的绝...,2196134,99.80%,作家出版社,（日）太宰治　著，杨伟　译,2015/8/1,¥10.10,http://product.dangdang.com/23761145.html,"['所属分类：', '图书', '>', '小说', '>', '社会小说', '图书', '>', '小说', '>', '外国小说', '>', '日本']"
129,苏东坡传（林语堂纪念典藏精装版）,647705,99.90%,湖南文艺出版社,"林语堂 著,博集天卷 出品",2018/1/1,¥28.60,http://product.dangdang.com/25211578.html,"['所属分类：', '图书', '>', '传记', '>', '历史人物']"
130,星光的速度（精装大开本，写给小朋友的天文物理书，2017年博洛尼...,10605,99.90%,辽宁少年儿童出版社,(英)科林·斯图尔特 文 (西)提莫·阿巴迪亚 图 左泉 译,2020/1/1,¥117.30,http://product.dangdang.com/28517992.html,"['所属分类：', '图书', '>', '童书', '>', '科普/百科', '>', '科普', '图书', '>', '童书', '>', '7-10岁', '>', '科普/百科', '图书', '>', '童书', '>', '宇宙星空']"
131,银火箭少年科幻系列·第1辑（8册。“雨果奖”得主、三体作者刘慈...,642450,100%,浙江教育出版社,刘慈欣、[英]赫伯特·乔治·威尔斯、[英]玛丽·雪莱等 著，小当当童书馆 出品,2018/4/2,¥227.80,http://product.dangdang.com/25259302.html,"['所属分类：', '图书', '>', '童书', '>', '外国儿童文学', '>', '幻想小说', '图书', '>', '童书', '>', '11-14岁', '>', '文学', '图书', '>', '童书', '>', '开学必备']"
132,刀锋（毛姆经典哲思之作，苏州大学方华文教授全新修订&详细注释本...,64485,99.80%,时代文艺出版社,"[英]毛姆 著,方华文 译",2018/5/14,¥14.80,http://product.dangdang.com/25273833.html,"['所属分类：', '图书', '>', '小说', '>', '社会小说']"
133,和爸爸一起科学启蒙绘本（全8册+66个彩蛋，歪歪兔出品）,12463,99.90%,海豚出版社,关航  文；徐敏君绘,2021/10/1,¥147.00,http://product.dangdang.com/29309637.html,"['所属分类：', '图书', '>', '童书', '>', '科普/百科', '>', '科普', '图书', '>', '童书', '>', '3-6岁', '>', '科普/百科']"
134,红楼梦原著版（上、下册，全两册，全本120回）（团购电话:400-10...,593203,99.60%,人民文学出版社,曹雪芹,2013/1/1,¥34.00,http://product.dangdang.com/102771.html,"['所属分类：', '图书', '>', '小说', '>', '四大名著', '>', '红楼梦']"
135,真希望我父母读过这本书,81333,100%,中信出版社,菲莉帕·佩里（Philippa Perry）,2020/8/10,¥31.20,http://product.dangdang.com/28997946.html,"['所属分类：', '图书', '>', '亲子/家教', '>', '亲子关系']"
136,是谁嗯嗯在我的头上——邓超微博推荐的绘本 带给孩子更多勇气和自...,281430,99.80%,河北教育出版社,文：〔德〕维尔纳霍尔茨瓦特（WernerHolzwarth）　著，方素珍　译,2019/11/1,¥39.80,http://product.dangdang.com/27942700.html,"['所属分类：', '图书', '>', '童书', '>', '绘本/图画书', '>', '精装图画书', '>', '欧美', '图书', '>', '童书', '>', '3-6岁', '>', '卡通/动漫/图画书', '图书', '>', '童书', '>', '品格培养']"
137,致我独一无二的宝贝（父母写给孩子的人生情书，一份以爱为名义的...,96406,100%,湖南美术出版社,（美）沙尼·金 著，（瑞士）安娜·霍瓦特 绘，小土大橙子 译,2020/10/14,¥40.10,http://product.dangdang.com/29131992.html,"['所属分类：', '图书', '>', '童书', '>', '绘本/图画书', '>', '精装图画书', '>', '欧美', '图书', '>', '童书', '>', '3-6岁', '>', '卡通/动漫/图画书']"
138,菜根谭：中国人“处世三大奇书”之一，全新插画未删减珍藏版,45477,100%,古吴轩出版社,[明] 洪应明著 竹石文化 出品,2020/7/1,¥42.80,http://product.dangdang.com/28995535.html,"['所属分类：', '图书', '>', '文学', '>', '中国古代随笔']"
139,米小圈上学记一年级（套装共4册）,596584,100%,四川少年儿童出版社,北猫,2018/4/1,¥98.00,http://product.dangdang.com/25261327.html,"['所属分类：', '图书', '>', '童书', '>', '中国儿童文学', '>', '成长/校园小说', '图书', '>', '童书', '>', '7-10岁', '>', '文学', '图书', '>', '童书', '>', '快乐成长']"
140,当小脚慢下来（50个科普故事，400幅纯美插画，帮你重拾容易被忽略...,2541,99.70%,陕西人民教育出版社,（澳）雷切尔·威廉斯 文，（英）弗雷亚·哈尔塔斯 图，张木天 译,2021/7/1,¥135.20,http://product.dangdang.com/29345782.html,"['所属分类：', '图书', '>', '童书', '>', '科普/百科', '>', '科普', '图书', '>', '童书', '>', '3-6岁', '>', '科普/百科']"
141,秋园（女性版《活着》，80岁素人作家不朽名篇，横扫国内十二项文...,38590,100%,北京联合出版有限公司,杨本芬 |乐府文化,2020/6/1,¥37.20,http://product.dangdang.com/28535816.html,"['所属分类：', '图书', '>', '文学', '>', '中国现当代随笔']"
142,如果历史是一群喵9·五代十国篇,49925,100%,广东旅游出版社,肥志著 漫友文化出品,2021/10/1,¥40.70,http://product.dangdang.com/29325171.html,"['所属分类：', '图书', '>', '动漫/幽默', '>', '大陆漫画', '>', '历史/传统文化']"
143,神奇点心店（1-4）（欢迎光临钱天堂，“儿童版解忧杂货店”开张了...,12279,100%,北京科学技术出版社,（日）广岛玲子 著，（日）加加 绘，仲雷雷 译  100层童书馆 出品,2021/11/1,¥112.00,http://product.dangdang.com/29331299.html,"['所属分类：', '图书', '>', '童书', '>', '外国儿童文学', '>', '幻想小说', '图书', '>', '童书', '>', '7-10岁', '>', '文学']"
144,毛泽东选集（全四册，32开）,264510,99.90%,人民出版社,毛泽东 著,1991/6/1,¥56.70,http://product.dangdang.com/23413230.html,"['所属分类：', '图书', '>', '政治/军事', '>', '政治', '>', '领袖著作']"
145,走遍世界 图说天下 寻梦之旅,174624,100%,四川人民出版社,王秀莉,2020/12/1,¥22.60,http://product.dangdang.com/29174191.html,"['所属分类：', '图书', '>', '旅游/地图', '>', '国外自助旅游指南', '>', '国外游(综合)']"
146,深见春夫超级想象力图画书（全15册）,185598,99.90%,电子工业出版社,深见春夫,2019/5/15,¥291.10,http://product.dangdang.com/27859288.html,"['所属分类：', '图书', '>', '童书', '>', '绘本/图画书', '>', '平装图画书', '>', '中国原创', '图书', '>', '童书', '>', '3-6岁', '>', '卡通/动漫/图画书', '图书', '>', '童书', '>', '想像力/创造力']"
147,皮囊（400万册纪念版，直面人生的难题，刻在骨头里的故事，容纳一...,1243507,99.90%,天津人民出版社,蔡崇达，果麦文化 出品,2019/5/1,¥49.80,http://product.dangdang.com/27872661.html,"['所属分类：', '图书', '>', '文学', '>', '中国现当代随笔']"
148,下雨的书店（全4册）,68248,100%,新星出版社,（日）日向理惠子 著，（日）吉田尚令 绘，爱心树童书 出品,2021/8/1,¥78.40,http://product.dangdang.com/29271454.html,"['所属分类：', '图书', '>', '童书', '>', '外国儿童文学', '>', '成长/校园小说', '图书', '>', '童书', '>', '7-10岁', '>', '文学']"
149,"西西弗神话（诺贝尔文学奖得主,加缪的荒诞哲学代表作)",27346,100%,民主与建设出版社,（法）阿尔贝·加缪著，李玉民译，知书达礼 出品,2020/9/1,¥47.30,http://product.dangdang.com/29134555.html,"['所属分类：', '图书', '>', '文学', '>', '外国随笔']"
150,认知觉醒：开启自我改变的原动力,51730,100%,人民邮电出版社,周岭,2020/9/1,¥58.60,http://product.dangdang.com/29119834.html,"['所属分类：', '图书', '>', '成功/励志', '>', '智商/智谋', '>', '智谋/谋略']"
151,大语文那些事儿（全6册）大语文时代，得语文者得天下。字词、作文...,95961,100%,北京理工大学出版社,赵旭,2020/10/1,¥176.40,http://product.dangdang.com/29194673.html,"['所属分类：', '图书', '>', '童书', '>', '中国儿童文学', '>', '传统文化', '图书', '>', '童书', '>', '7-10岁', '>', '文学', '图书', '>', '童书', '>', '古诗词']"
152,罪与罚（刑法学罗翔老师推荐版本，用爱和生活去对抗痛苦！）【果...,107726,100%,浙江文艺出版社,陀思妥耶夫斯基，译者：曾思艺，果麦文化 出品,2019/2/1,¥68.00,http://product.dangdang.com/26490763.html,"['所属分类：', '图书', '>', '小说', '>', '世界名著', '>', '欧洲']"
153,刻意练习：如何从新手到大师,332869,100%,机械工业出版社,[美] 安德斯·艾利克森（Anders Ericsson）罗伯特·普尔（Robert Pool）,2021/3/1,¥57.80,http://product.dangdang.com/29233018.html,"['所属分类：', '图书', '>', '成功/励志', '>', '成功/激励', '>', '成功法则']"
154,把妈妈的话装进耳朵里,130692,100%,北京科学技术出版社,(西) 玛尔塔·帕拉雷斯著 ; (西) 安 娜·格里马尔绘 ; 吴荷佳译  100层童书馆 出品,2019/4/1,¥39.00,http://product.dangdang.com/27853164.html,"['所属分类：', '图书', '>', '童书', '>', '绘本/图画书', '>', '精装图画书', '>', '欧美', '图书', '>', '童书', '>', '3-6岁', '>', '卡通/动漫/图画书', '图书', '>', '童书', '>', '习惯养成']"
155,人类群星闪耀时（无删减全译本。《一个陌生女人的来信》作者茨威...,135184,100%,时代文艺出版社,〔奥〕斯蒂芬·茨威格 著，潘子力 高中甫 译,2018/1/15,¥23.80,http://product.dangdang.com/25215595.html,"['所属分类：', '图书', '>', '传记', '>', '历史人物']"
156,心理抚养,71317,100%,上海三联书店,李玫瑾,2021/6/1,¥40.70,http://product.dangdang.com/29249369.html,"['所属分类：', '图书', '>', '亲子/家教', '>', '心理疏导']"
157,俗世奇人（全三册）冯骥才“俗世奇人系列”全部作品54篇入选中小...,39244,100%,作家出版社,冯骥才,2020/3/31,¥62.00,http://product.dangdang.com/28526002.html,"['所属分类：', '图书', '>', '小说', '>', '中国当代小说']"
158,阅读是一座随身携带的避难所（罗翔推荐版本。“阅读应该是愉悦的...,50699,100%,江西人民出版社,毛姆 著，夏高娃 译，果麦文化 出品,2020/7/1,¥42.00,http://product.dangdang.com/28985457.html,"['所属分类：', '图书', '>', '文学', '>', '外国随笔']"
159,海奥华预言中文版（米歇戴斯玛克特讲述地球人外星游记外观地球内...,36362,99.90%,作家出版社,米歇·戴斯玛克特,2018/8/22,¥29.20,http://product.dangdang.com/25322131.html,"['所属分类：', '图书', '>', '小说', '>', '外国小说', '>', '其他国家']"
160,果麦经典：了凡四训（“我命由我不由天！”曾国藩、胡适、稻盛和...,130729,100%,三秦出版社,袁了凡 著，译者 费勇，果麦文化 出品,2017/9/1,¥32.00,http://product.dangdang.com/25157989.html,"['所属分类：', '图书', '>', '哲学/宗教', '>', '哲学', '>', '哲学知识读物', '图书', '>', '文化', '>', '传统文化', '>', '其他']"
161,语言表达第一课（全4册）,50648,100%,贵州人民出版社,"作者	[日]五味太郎  著 黄帆  译",2020/4/1,¥105.80,http://product.dangdang.com/28536143.html,"['所属分类：', '图书', '>', '童书', '>', '绘本/图画书', '>', '平装图画书', '>', '日韩', '图书', '>', '童书', '>', '3-6岁', '>', '卡通/动漫/图画书', '图书', '>', '童书', '>', '语言表达']"
162,外婆的道歉信（外婆说，要大笑要做梦要与众不同。人生是一场伟大...,582306,99.90%,天津人民出版社,[瑞典]弗雷德里克·巴克曼，译者 孟汇一，果麦文化 出品,2017/5/1,¥42.00,http://product.dangdang.com/25072421.html,"['所属分类：', '图书', '>', '小说', '>', '情感小说', '>', '其他', '图书', '>', '小说', '>', '外国小说', '>', '英国']"
163,我们仨（新版）,1533940,99.80%,生活.读书.新知三联书店,杨绛,2018/6/1,¥21.00,http://product.dangdang.com/25284154.html,"['所属分类：', '图书', '>', '传记', '>', '文学家']"
164,拼音真好玩（全彩6册）（从幼小衔接到一年级，拼音学习启蒙书，附...,260695,100%,电子工业出版社,周霞 著 段张取艺 绘,2018/10/15,¥97.00,http://product.dangdang.com/25352309.html,"['所属分类：', '图书', '>', '童书', '>', '幼儿启蒙', '>', '幼儿园教材及入学准备', '图书', '>', '童书', '>', '3-6岁', '>', '入学准备', '图书', '>', '童书', '>', '拼音读物']"
165,奥特曼系列 视觉志:55周年纪念,7523,99.90%,安徽少年儿童出版社,上海新创华文化发展有限公司 编                      日本圆谷制作柱式会社 原著,2021/12/1,¥49.00,http://product.dangdang.com/29342961.html,"['所属分类：', '图书', '>', '童书', '>', '动漫/卡通', '>', '卡通', '图书', '>', '童书', '>', '3-6岁', '>', '卡通/动漫/图画书']"
166,半小时漫画论语（孔子原来这么爱吐槽！看孔子和弟子们卖萌吐槽，...,43835,100%,文汇出版社,陈磊·半小时漫画团队；读客文化 出品,2021/9/30,¥56.90,http://product.dangdang.com/29308991.html,"['所属分类：', '图书', '>', '文化', '>', '传统文化', '>', '其他国学启蒙读物']"
167,沈从文：到日光下去生活（今天也要好好过。到日光下去，去找到你...,16571,100%,中国致公出版社,沈从文,2021/8/1,¥39.20,http://product.dangdang.com/29278002.html,"['所属分类：', '图书', '>', '文学', '>', '名家作品']"
168,流浪的地球（《三体》作者刘慈欣绚丽想象力之作，关乎人类命运共...,642450,100%,浙江教育出版社,刘慈欣 著，小当当童书馆 出品,2018/5/1,¥25.80,http://product.dangdang.com/25259300.html,"['所属分类：', '图书', '>', '童书', '>', '中国儿童文学', '>', '幻想小说', '图书', '>', '童书', '>', '7-10岁', '>', '文学', '图书', '>', '童书', '>', '科幻故事']"
169,钝感力（渡边淳一经典励志大作！央视新闻、《奇葩说》鼎力推荐，...,425419,99.80%,青岛出版社,渡边淳一著；李迎跃 译;,2018/1/1,¥31.40,http://product.dangdang.com/25201859.html,"['所属分类：', '图书', '>', '成功/励志', '>', '成功/激励', '>', '激励']"
170,学会爱自己（防性侵，安全意识、行为习惯培养绘本，套装全14册）...,392988,99.80%,青岛出版社,珊蒂克雷文，茱蒂柏斯玛，佩特拉敏特尔（德），安德烈乌斯塔科夫（德）等,2016/2/1,¥192.00,http://product.dangdang.com/23851466.html,"['所属分类：', '图书', '>', '童书', '>', '绘本/图画书', '>', '平装图画书', '>', '欧美', '图书', '>', '童书', '>', '3-6岁', '>', '卡通/动漫/图画书', '图书', '>', '童书', '>', '安全教育']"
171,心若菩提(增订本),93464,100%,人民出版社,曹德旺 著,2020/10/1,¥51.40,http://product.dangdang.com/29144556.html,"['所属分类：', '图书', '>', '哲学/宗教', '>', '宗教', '>', '佛教']"
172,丰乳肥臀（莫言用情极深的长篇代表作，女性苦难史）,150196,99.90%,浙江文艺出版社,莫言,2020/3/1,¥60.10,http://product.dangdang.com/28531227.html,"['所属分类：', '图书', '>', '小说', '>', '中国当代小说']"
173,时间真好玩（全彩6册）（ 培养时间观念、学会认时钟、进行时间管...,55544,100%,电子工业出版社,乐凡 著  段张取艺 绘,2019/12/1,¥97.00,http://product.dangdang.com/28486948.html,"['所属分类：', '图书', '>', '童书', '>', '幼儿启蒙', '>', '认知', '图书', '>', '童书', '>', '3-6岁', '>', '认知', '图书', '>', '童书', '>', '数学启蒙']"
174,如果历史是一群喵1-9全集（套装共9册）,28467,99.90%,广东旅游出版社,肥志著 漫友文化出品,2021/10/1,¥336.60,http://product.dangdang.com/29325172.html,"['所属分类：', '图书', '>', '动漫/幽默', '>', '大陆漫画', '>', '历史/传统文化']"
175,漫画历史线 轻松学古文1-5（套装共5册）,27637,100%,黑龙江美术出版社,戴建业 主编   漫友文化 出品,2021/4/12,¥275.00,http://product.dangdang.com/29222896.html,"['所属分类：', '图书', '>', '动漫/幽默', '>', '大陆漫画', '>', '历史/传统文化']"
176,手不是用来打人的（儿童好品德系列，全5册）孩子多读就见效的习惯...,425962,99.90%,贵州教育出版社,（美）伊丽莎白·弗迪克、（美）玛丁妮·阿加西/著（美）玛丽卡·海因莱因/绘 陈薇薇、刘宣谷/译,2018/4/1,¥97.00,http://product.dangdang.com/25284537.html,"['所属分类：', '图书', '>', '童书', '>', '绘本/图画书', '>', '平装图画书', '>', '欧美', '图书', '>', '童书', '>', '3-6岁', '>', '卡通/动漫/图画书', '图书', '>', '童书', '>', '品格培养']"
177,东野圭吾：嫌疑人X的献身（易烊千玺、王凯推荐，至为纯粹的爱情，...,870083,99.60%,南海出版公司,东野圭吾 著，刘子倩 译，新经典 出品,2014/6/1,¥24.10,http://product.dangdang.com/23490646.html,"['所属分类：', '图书', '>', '小说', '>', '侦探/悬疑/推理小说']"
